               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.010984,           0.0040383,                   0,             0.99991,                   1,               0.995,              0.9257,           0.0063361,           0.0017917,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.011095,           0.0040386,                   0,             0.99991,                   1,               0.995,             0.92343,           0.0065711,           0.0018676,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.011211,           0.0041847,                   0,             0.99992,                   1,               0.995,             0.93206,           0.0060915,           0.0018081,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.011032,            0.004192,                   0,             0.99991,                   1,               0.995,             0.93563,           0.0060689,           0.0017741,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.011099,           0.0040606,                   0,             0.99987,                   1,               0.995,              0.9272,           0.0060766,           0.0017642,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.010968,            0.004085,                   0,             0.99991,                   1,               0.995,             0.92173,           0.0062005,           0.0018175,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.011038,           0.0041734,                   0,             0.99992,                   1,               0.995,             0.92917,           0.0062118,           0.0018195,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.010985,           0.0041125,                   0,             0.99992,                   1,               0.995,             0.93371,           0.0059427,           0.0017782,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.01099,           0.0041119,                   0,             0.99991,                   1,               0.995,             0.92232,           0.0063459,           0.0017876,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.010937,            0.004093,                   0,             0.99992,                   1,               0.995,             0.93767,           0.0063237,           0.0017685,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.011061,           0.0040613,                   0,             0.99991,                   1,               0.995,             0.93476,            0.006178,           0.0018023,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.010908,           0.0040043,                   0,             0.99991,                   1,               0.995,              0.9241,            0.006188,           0.0017651,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.01072,           0.0040755,                   0,             0.99992,                   1,               0.995,             0.92744,            0.006188,           0.0017582,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.01058,           0.0039872,                   0,             0.99992,                   1,               0.995,              0.9328,           0.0061052,           0.0017703,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.010659,           0.0040667,                   0,             0.99992,                   1,               0.995,             0.93335,           0.0062854,           0.0018014,                   0,            0.006865,            0.006865,            0.006865
                  97,              0.0106,           0.0040662,                   0,             0.99991,                   1,               0.995,             0.92974,           0.0061893,           0.0018173,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.010694,           0.0039835,                   0,             0.99992,                   1,               0.995,             0.93366,           0.0060346,           0.0017775,                   0,            0.006799,            0.006799,            0.006799
